,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Edge Weight
deborahfales1,natlparkservice,,,,,,,,,,54,,,Mentions,4/30/2019 16:21,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:21,https://twitter.com/#!/deborahfales1/status/1123261038298841090,,,1123261038298841090,,1
deborahfales1,flotus,,,,,,,,,,55,,,Mentions,4/30/2019 16:21,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:21,https://twitter.com/#!/deborahfales1/status/1123261038298841090,,,1123261038298841090,,1
chucktod_goatee,natlparkservice,,,,,,,,,,56,,,Mentions,4/30/2019 16:22,"@RepDonBeyer @NatlParkService When are you releasing your taxes and other financial documents?
What do you have to hide?
#ResignNow",,,resignnow,4/30/2019 16:22,https://twitter.com/#!/chucktod_goatee/status/1123261326988591104,,,1123261326988591104,1123258884196569090,1
chucktod_goatee,repdonbeyer,,,,,,,,,,57,,,Replies to,4/30/2019 16:22,"@RepDonBeyer @NatlParkService When are you releasing your taxes and other financial documents?
What do you have to hide?
#ResignNow",,,resignnow,4/30/2019 16:22,https://twitter.com/#!/chucktod_goatee/status/1123261326988591104,,,1123261326988591104,1123258884196569090,1
morganryan_md,unlgeography,,,,,,,,,,58,,,Mentions,4/30/2019 16:23,RT @UNLGeography: ??????????????????Less than one week!!!  #GeographyFieldTour #FieldTour ?????????????????? https://t.co/nzEejUPhjl,https://twitter.com/NatlParkService/status/1121434293367185409,twitter.com,geographyfieldtour fieldtour,4/30/2019 16:23,https://twitter.com/#!/morganryan_md/status/1123261559533445120,,,1123261559533445120,,1
wmcook35,us,,,,,,,,,,59,,,Mentions,4/30/2019 16:24,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:24,https://twitter.com/#!/wmcook35/status/1123261965512712192,,,1123261965512712192,,1
wmcook35,natlparkservice,,,,,,,,,,60,,,Mentions,4/30/2019 16:24,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:24,https://twitter.com/#!/wmcook35/status/1123261965512712192,,,1123261965512712192,,1
wmcook35,flotus,,,,,,,,,,61,,,Mentions,4/30/2019 16:24,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:24,https://twitter.com/#!/wmcook35/status/1123261965512712192,,,1123261965512712192,,1
wahideziya,us,,,,,,,,,,62,,,Mentions,4/30/2019 16:32,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:32,https://twitter.com/#!/wahideziya/status/1123263758795780103,,,1123263758795780103,,1
wahideziya,natlparkservice,,,,,,,,,,63,,,Mentions,4/30/2019 16:32,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:32,https://twitter.com/#!/wahideziya/status/1123263758795780103,,,1123263758795780103,,1
wahideziya,flotus,,,,,,,,,,64,,,Mentions,4/30/2019 16:32,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:32,https://twitter.com/#!/wahideziya/status/1123263758795780103,,,1123263758795780103,,1
kelly_syra,us,,,,,,,,,,65,,,Mentions,4/30/2019 16:33,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:33,https://twitter.com/#!/kelly_syra/status/1123264006498729984,,,1123264006498729984,,1
kelly_syra,natlparkservice,,,,,,,,,,66,,,Mentions,4/30/2019 16:33,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:33,https://twitter.com/#!/kelly_syra/status/1123264006498729984,,,1123264006498729984,,1
kelly_syra,flotus,,,,,,,,,,67,,,Mentions,4/30/2019 16:33,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:33,https://twitter.com/#!/kelly_syra/status/1123264006498729984,,,1123264006498729984,,1
